City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Moose Factory,CA,2021-01-27 16:28:16,51.2585,-80.6094,3.2,78,90,8.05
68,Vaitape,PF,2021-01-27 16:28:17,-16.5167,-151.75,80.44,74,31,15.73
69,La Ronge,CA,2021-01-27 16:28:17,55.1001,-105.2842,-9.4,77,100,5.75
70,Port Elizabeth,ZA,2021-01-27 16:28:17,-33.918,25.5701,66.2,94,75,12.66
71,Bredasdorp,ZA,2021-01-27 16:28:17,-34.5322,20.0403,73.4,38,79,6.91
72,Avarua,CK,2021-01-27 16:28:09,-21.2078,-159.775,80.6,78,75,17.27
73,Kodiak,US,2021-01-27 16:28:17,57.79,-152.4072,28.4,80,90,3.44
74,Longyearbyen,SJ,2021-01-27 16:25:16,78.2186,15.6401,6.8,72,20,13.8
75,Kashi,CN,2021-01-27 16:28:18,39.4547,75.9797,26.6,54,0,4.47
76,Hervey Bay,AU,2021-01-27 16:28:18,-25.2986,152.8535,75.0,84,37,3.0
77,Jacareacanga,BR,2021-01-27 16:28:18,-6.2222,-57.7528,88.81,57,100,4.47
78,Riyadh,SA,2021-01-27 16:24:06,24.6877,46.7219,73.4,21,0,8.05
79,Upernavik,GL,2021-01-27 16:28:18,72.7868,-56.1549,0.43,91,100,3.6
80,Meulaboh,ID,2021-01-27 16:28:19,4.1363,96.1285,79.56,80,99,2.64
81,Nova Olinda Do Norte,BR,2021-01-27 16:23:54,-3.8881,-59.0942,82.76,82,90,4.85
82,Mount Gambier,AU,2021-01-27 16:28:19,-37.8333,140.7667,55.4,100,75,9.22
83,Flinders,AU,2021-01-27 16:28:19,-34.5833,150.8552,68.0,86,98,4.0
84,Thinadhoo,MV,2021-01-27 16:28:20,0.5333,72.9333,81.72,77,42,19.98
85,Praia Da Vitoria,PT,2021-01-27 16:28:20,38.7333,-27.0667,64.4,77,40,30.09
86,Cherskiy,RU,2021-01-27 16:28:20,68.75,161.3,-24.79,84,100,3.38
87,Christchurch,NZ,2021-01-27 16:26:00,-43.5333,172.6333,63.0,88,78,14.97
88,Vila Franca Do Campo,PT,2021-01-27 16:23:26,37.7167,-25.4333,66.0,94,20,16.11
89,Safonovo,RU,2021-01-27 16:28:21,55.15,33.2167,29.07,98,98,8.08
90,Cockburn Town,TC,2021-01-27 16:28:21,21.4612,-71.1419,75.97,76,1,17.67
91,Ponta Do Sol,PT,2021-01-27 16:23:56,32.6667,-17.1,66.2,82,20,9.22
92,Touros,BR,2021-01-27 16:28:21,-5.1989,-35.4608,87.8,58,40,18.41
93,Sarangani,PH,2021-01-27 16:23:25,5.4033,125.4636,82.26,76,89,19.13
94,Tazovskiy,RU,2021-01-27 16:28:21,67.4667,78.7,-38.33,81,46,5.82
95,Aranos,NA,2021-01-27 16:28:22,-24.1333,19.1167,91.06,16,31,17.65
96,Havre-Saint-Pierre,CA,2021-01-27 16:28:22,50.2334,-63.5986,23.0,54,1,6.91
97,Saint George,US,2021-01-27 16:25:14,37.1041,-113.5841,37.0,60,90,14.97
98,Port Alfred,ZA,2021-01-27 16:28:22,-33.5906,26.891,68.0,90,92,4.0
99,Uglovskoye,RU,2021-01-27 16:28:22,51.3557,80.1942,25.21,98,100,12.93
100,Jamestown,US,2021-01-27 16:28:23,42.097,-79.2353,27.0,86,90,10.0
101,Gornopravdinsk,RU,2021-01-27 16:28:23,60.05,69.9,-3.57,92,100,7.0
102,Kamina,CD,2021-01-27 16:28:23,-8.7386,24.9906,73.47,87,64,1.1
103,Teodoro Sampaio,BR,2021-01-27 16:28:23,-22.5325,-52.1675,85.21,68,100,10.25
104,Ancud,CL,2021-01-27 16:26:23,-41.8697,-73.8203,55.4,88,75,9.22
105,Mahebourg,MU,2021-01-27 16:25:17,-20.4081,57.7,80.6,74,20,5.75
106,Bathsheba,BB,2021-01-27 16:28:24,13.2167,-59.5167,82.4,61,40,21.85
107,Hermanus,ZA,2021-01-27 16:28:24,-34.4187,19.2345,72.0,52,82,3.0
108,Leningradskiy,RU,2021-01-27 16:25:02,69.3833,178.4167,-20.58,86,100,3.98
109,Mmabatho,ZA,2021-01-27 16:28:24,-25.85,25.6333,75.24,69,100,10.56
110,Barrow,US,2021-01-27 16:28:24,71.2906,-156.7887,-11.2,77,90,6.33
