City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Arraial Do Cabo,BR,-22.9661,-42.0278,95.0,55,0,16.11,clear sky
81,Penol,CO,6.2183,-75.243,66.2,68,40,4.61,scattered clouds
82,Sitka,US,57.0531,-135.33,35.6,55,90,19.57,light snow
83,Ryotsu,JP,38.0833,138.4333,29.1,94,100,30.85,light snow
84,Chokurdakh,RU,70.6333,147.9167,-22.56,87,100,8.19,overcast clouds
85,Kapaa,US,22.0752,-159.319,72.0,83,40,13.8,light rain
86,Brewster,US,41.3973,-73.6171,12.99,62,90,16.11,overcast clouds
87,Dikson,RU,73.5069,80.5464,-33.18,84,54,4.88,broken clouds
88,Mehamn,NO,71.0357,27.8492,17.6,79,75,9.22,broken clouds
89,Qaanaaq,GL,77.484,-69.3632,-14.6,59,0,4.7,clear sky
90,Hilo,US,19.7297,-155.09,66.2,88,90,4.61,moderate rain
91,Bethlehem,BR,-1.4558,-48.5044,87.8,62,40,11.5,scattered clouds
92,Acapulco,MX,16.8634,-99.8901,84.2,54,40,8.05,scattered clouds
93,Pisco,PE,-13.7,-76.2167,73.99,73,0,10.36,clear sky
94,Lagoa,PT,39.05,-27.9833,59.2,72,80,20.15,broken clouds
95,Sao Filipe,CV,14.8961,-24.4956,78.31,52,100,8.88,overcast clouds
96,Erdaojiang,CN,41.7764,126.0319,4.42,92,100,3.42,light snow
97,Ostrovnoy,RU,68.0531,39.5131,4.89,93,100,16.82,overcast clouds
98,Paamiut,GL,61.994,-49.6678,37.26,74,89,9.42,overcast clouds
99,Taoudenni,ML,22.6783,-3.9836,87.84,12,0,5.84,clear sky
100,College,US,64.8569,-147.8028,0.0,71,75,3.27,light snow
101,Tiznit,MA,29.5833,-9.5,70.88,30,0,6.29,clear sky
102,Kavaratti,IN,10.5669,72.642,81.18,68,0,7.87,clear sky
103,North Bend,US,43.4065,-124.2243,37.0,100,1,5.08,mist
104,Tuatapere,NZ,-46.1333,167.6833,48.0,80,31,8.01,scattered clouds
105,Ribeira Grande,PT,38.5167,-28.7,64.4,68,20,14.97,few clouds
106,Parkes,AU,-33.1333,148.1833,71.01,90,96,1.99,overcast clouds
107,San Roque,ES,36.2107,-5.3842,64.4,72,20,14.97,few clouds
108,Baykit,RU,61.67,96.37,-39.28,75,92,4.79,overcast clouds
109,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,8.05,few clouds
110,Lengshuitan,CN,26.4111,111.5956,55.31,41,98,3.27,overcast clouds
111,Adelaide,AU,-34.9333,138.6,63.0,82,75,5.75,broken clouds
112,Korla,CN,41.7597,86.1469,23.54,82,0,2.28,clear sky
113,Kruisfontein,ZA,-34.0033,24.7314,71.01,67,0,8.01,clear sky
114,Tamandare,BR,-8.7597,-35.1047,82.92,68,100,10.47,moderate rain
115,Hasaki,JP,35.7333,140.8333,35.6,38,20,11.5,few clouds
116,Nome,US,64.5011,-165.4064,1.4,71,40,3.44,scattered clouds
117,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,3.99,90,80,9.04,broken clouds
118,Caravelas,BR,-17.7125,-39.2481,86.09,52,0,10.25,clear sky
119,Fortuna,US,40.5982,-124.1573,39.99,100,1,8.05,clear sky
120,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,1,6.91,clear sky
121,Inuvik,CA,68.3499,-133.7218,-27.4,68,4,5.75,clear sky
122,Ambilobe,MG,-13.2,49.05,76.14,91,100,2.8,overcast clouds
123,Avarua,CK,-21.2078,-159.775,77.0,94,20,5.75,few clouds
124,Akyab,MM,20.15,92.9,66.47,65,0,6.89,clear sky
125,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.31,70,12,19.26,few clouds
126,Isangel,VU,-19.55,169.2667,76.69,79,39,14.2,scattered clouds
127,Skibbereen,IE,51.55,-9.2667,46.4,87,75,4.61,light rain
128,Bengkulu,ID,-3.8004,102.2655,75.65,88,100,4.43,moderate rain
129,Provideniya,RU,64.3833,-173.3,-9.63,82,94,7.96,overcast clouds
130,Zongozotla,MX,19.9833,-97.7333,65.23,67,72,5.97,broken clouds
131,Port Hardy,CA,50.6996,-127.4199,41.0,87,75,16.11,broken clouds
132,Namibe,AO,-15.1961,12.1522,75.78,72,97,12.62,overcast clouds
133,Pingzhuang,CN,42.0372,119.2889,7.56,87,1,1.77,clear sky
134,Oranjemund,NA,-28.55,16.4333,65.05,69,0,22.1,clear sky
135,Port Blair,IN,11.6667,92.75,79.36,83,71,7.34,broken clouds
136,Alugan,PH,12.2188,125.4808,77.47,85,100,22.77,overcast clouds
137,Kumo,NG,10.0447,11.2122,87.21,15,27,9.89,scattered clouds
138,Hamilton,US,39.1834,-84.5333,28.99,68,75,1.52,broken clouds
139,Santa Isabel,BR,-23.3156,-46.2214,87.8,40,40,12.66,scattered clouds
140,Ridgecrest,US,35.6225,-117.6709,45.0,81,75,6.91,broken clouds
141,Vestmannaeyjar,IS,63.4427,-20.2734,39.2,70,90,10.36,overcast clouds
142,Rawson,AR,-43.3002,-65.1023,61.5,57,22,23.4,few clouds
143,Georgetown,MY,5.4112,100.3354,78.8,78,20,2.3,few clouds
