City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint George,US,37.1041,-113.5841,43.0,81,90,4.61,overcast clouds
80,Ushuaia,AR,-54.8,-68.3,42.8,70,75,23.02,light intensity drizzle
81,Beringovskiy,RU,63.05,179.3167,-15.34,86,23,8.88,few clouds
82,Kamsack,CA,51.5667,-101.9009,15.8,92,90,16.11,overcast clouds
83,Palana,RU,59.1167,159.9667,-8.88,93,100,5.59,overcast clouds
84,Mehamn,NO,71.0357,27.8492,17.6,79,0,6.91,light snow
85,Kirovohrad,UA,48.5132,32.2597,28.45,96,74,10.74,broken clouds
86,Masunga,BW,-20.6246,27.4488,68.0,100,40,2.3,scattered clouds
87,Gleisdorf,AT,47.1061,15.7127,41.0,100,100,3.44,overcast clouds
88,Danjiangkou,CN,32.5428,111.5086,43.52,58,5,2.08,clear sky
89,Kudahuvadhoo,MV,2.6708,72.8944,81.3,78,26,16.13,scattered clouds
90,Itaituba,BR,-4.2761,-55.9836,88.72,58,91,1.16,overcast clouds
91,Moerai,PF,-22.4333,-151.3333,80.55,71,1,11.61,clear sky
92,Fort Nelson,CA,58.8053,-122.7002,-14.8,76,40,1.83,scattered clouds
93,San Patricio,US,28.017,-97.5169,73.4,49,75,14.97,broken clouds
94,Airai,TL,-8.9266,125.4092,61.54,100,100,4.25,overcast clouds
95,Yar-Sale,RU,66.8333,70.8333,-41.55,80,15,4.52,few clouds
96,Omsukchan,RU,62.5333,155.8,-27.9,82,99,4.72,overcast clouds
97,Qaanaaq,GL,77.484,-69.3632,-15.14,60,0,4.25,clear sky
98,Chuy,UY,-33.6971,-53.4616,78.46,66,3,9.1,clear sky
99,Tanete,ID,-3.9443,119.7848,75.29,87,100,0.78,overcast clouds
100,Katiola,CI,8.1333,-5.1,86.0,39,0,3.42,clear sky
101,Sinnamary,GF,5.3833,-52.95,78.31,88,100,12.33,overcast clouds
102,Labuhan,ID,-6.8844,112.2051,77.58,86,100,15.37,light rain
103,Haines Junction,CA,60.7522,-137.5108,-11.2,77,100,1.66,overcast clouds
104,Cap-Aux-Meules,CA,47.3821,-61.8597,28.4,80,100,19.57,overcast clouds
105,Smithers,CA,54.7804,-127.1743,12.2,73,75,8.05,broken clouds
106,Fortuna,US,40.5982,-124.1573,51.01,93,1,5.75,clear sky
107,Mandal,IN,25.45,74.5667,51.35,43,0,1.39,clear sky
108,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,40,5.75,scattered clouds
109,San Quintin,MX,30.4833,-115.95,58.78,73,85,13.29,overcast clouds
110,Pedernales,DO,18.0384,-71.744,79.84,60,8,4.43,clear sky
111,Batemans Bay,AU,-35.7167,150.1833,69.01,97,100,5.99,light rain
112,Durango,MX,24.8333,-104.8333,73.94,21,0,1.88,clear sky
113,Victoria,HK,22.2855,114.1577,60.01,70,0,1.01,clear sky
114,Avarua,CK,-21.2078,-159.775,84.2,74,85,6.91,light rain
115,Hilo,US,19.7297,-155.09,69.8,88,90,3.44,mist
116,Brodick,GB,55.5754,-5.1472,37.4,87,40,13.8,scattered clouds
117,New Norfolk,AU,-42.7826,147.0587,61.0,87,62,2.66,broken clouds
118,Tulsipur,NP,28.131,82.2973,46.56,55,0,4.36,clear sky
119,Mimongo,GA,-1.6195,11.6068,71.55,90,100,1.77,light rain
120,Ancud,CL,-41.8697,-73.8203,62.6,51,0,10.36,clear sky
121,Los Llanos De Aridane,ES,28.6585,-17.9182,66.99,88,20,4.88,few clouds
122,Mogadishu,SO,2.0371,45.3438,76.71,75,0,22.82,clear sky
123,Dikson,RU,73.5069,80.5464,-30.69,85,100,5.79,overcast clouds
124,Mount Isa,AU,-20.7333,139.5,80.6,61,100,5.75,overcast clouds
125,Viytivka,UA,48.426,29.5429,24.71,96,62,6.4,broken clouds
126,Ponta Do Sol,PT,32.6667,-17.1,57.99,76,53,4.0,broken clouds
127,Castro,BR,-24.7911,-50.0119,69.21,90,100,7.58,moderate rain
128,Cape Town,ZA,-33.9258,18.4232,70.0,77,0,12.66,clear sky
129,Saskylakh,RU,71.9167,114.0833,-38.83,79,73,1.81,broken clouds
130,Chapais,CA,49.7834,-74.8492,1.4,78,90,10.36,light snow
131,Taoudenni,ML,22.6783,-3.9836,74.95,19,0,11.05,clear sky
132,Morehead,US,37.2711,-87.1764,44.01,33,1,4.61,clear sky
133,Yinchuan,CN,38.4681,106.2731,25.93,75,56,3.06,broken clouds
134,Pevek,RU,69.7008,170.3133,-28.82,85,5,2.82,clear sky
135,Vagay,RU,57.9375,69.0217,6.1,95,100,8.23,overcast clouds
136,Caraballeda,VE,10.6112,-66.8522,86.0,74,40,8.61,scattered clouds
137,Kemptville,CA,45.0168,-75.641,12.0,56,100,8.05,overcast clouds
138,Vardo,NO,70.3705,31.1107,23.0,93,90,18.41,light snow
